[DEBUG] 2021-05-03 09:54:35.692 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-05-03 09:54:35.724 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-05-03 09:54:35.752 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-05-03 09:54:36.096 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-05-03 09:54:36.106 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-05-03 09:54:36.737 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-05-03 09:54:36.750 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-05-03 09:54:36.770 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-05-03 09:54:37.553 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-05-03 09:54:37.619 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-05-03 09:54:37.623 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-05-03 09:54:37.651 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-05-03 09:54:37.890 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@702c436b
[DEBUG] 2021-05-03 09:54:37.890 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@702c436b
[DEBUG] 2021-05-03 09:54:37.899 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@702c436b
[DEBUG] 2021-05-03 09:54:37.900 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@31d6f3fe
[DEBUG] 2021-05-03 09:54:37.905 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@31ff6309
[DEBUG] 2021-05-03 09:54:37.906 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5c73f672
[DEBUG] 2021-05-03 09:54:37.907 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2f508f3c
[DEBUG] 2021-05-03 09:54:37.908 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2f508f3c
[DEBUG] 2021-05-03 09:54:37.908 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2f508f3c
[DEBUG] 2021-05-03 09:54:37.930 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@ffaaaf0
[DEBUG] 2021-05-03 09:54:37.945 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@ffaaaf0
[DEBUG] 2021-05-03 09:54:37.945 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@ffaaaf0
[DEBUG] 2021-05-03 09:54:37.946 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62d73ead
[DEBUG] 2021-05-03 09:54:37.954 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@62d73ead
[DEBUG] 2021-05-03 09:54:37.954 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@62d73ead
[DEBUG] 2021-05-03 09:54:37.960 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@73fc518f
[DEBUG] 2021-05-03 09:54:37.962 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@73fc518f
[DEBUG] 2021-05-03 09:54:37.962 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@73fc518f
[DEBUG] 2021-05-03 09:54:37.964 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2cc03cd1
[DEBUG] 2021-05-03 09:54:37.965 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2cc03cd1
[DEBUG] 2021-05-03 09:54:37.965 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2cc03cd1
[DEBUG] 2021-05-03 09:54:37.966 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@21e20ad5
[DEBUG] 2021-05-03 09:54:37.966 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@21e20ad5
[DEBUG] 2021-05-03 09:54:37.967 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@21e20ad5
[DEBUG] 2021-05-03 09:54:37.968 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2650f79
[DEBUG] 2021-05-03 09:54:37.968 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2650f79
[DEBUG] 2021-05-03 09:54:37.969 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2650f79
