[DEBUG] 2021-05-03 09:50:30.253 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-05-03 09:50:30.294 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-05-03 09:50:30.321 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-05-03 09:50:30.768 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-05-03 09:50:30.776 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-05-03 09:50:31.780 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-05-03 09:50:31.784 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-05-03 09:50:31.799 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-05-03 09:50:33.051 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-05-03 09:50:33.164 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-05-03 09:50:33.173 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-05-03 09:50:33.253 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-05-03 09:50:33.414 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5833f5cd
[DEBUG] 2021-05-03 09:50:33.416 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5833f5cd
[DEBUG] 2021-05-03 09:50:33.419 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5833f5cd
[DEBUG] 2021-05-03 09:50:33.419 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@760cf594
[DEBUG] 2021-05-03 09:50:33.425 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@204e90f7
[DEBUG] 2021-05-03 09:50:33.427 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@8ee0c23
[DEBUG] 2021-05-03 09:50:33.439 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3ed03652
[DEBUG] 2021-05-03 09:50:33.439 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3ed03652
[DEBUG] 2021-05-03 09:50:33.439 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3ed03652
[DEBUG] 2021-05-03 09:50:33.446 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1dc76fa1
