[DEBUG] 2021-03-01 11:01:38.905 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-01 11:01:38.937 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-01 11:01:38.956 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-01 11:01:39.269 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-01 11:01:39.287 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-01 11:01:40.006 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-01 11:01:40.011 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-01 11:01:40.039 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-01 11:01:41.420 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-01 11:01:41.485 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-01 11:01:41.493 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-01 11:01:41.524 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-01 11:01:41.571 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6a84bc2a
[DEBUG] 2021-03-01 11:01:41.571 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6a84bc2a
[DEBUG] 2021-03-01 11:01:41.571 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6a84bc2a
[DEBUG] 2021-03-01 11:01:41.572 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@27068a50
[DEBUG] 2021-03-01 11:01:41.573 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@48bfb884
[DEBUG] 2021-03-01 11:01:41.573 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2e52fb3e
[DEBUG] 2021-03-01 11:01:41.574 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4d4960c8
[DEBUG] 2021-03-01 11:01:41.574 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4d4960c8
[DEBUG] 2021-03-01 11:01:41.574 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4d4960c8
[DEBUG] 2021-03-01 11:01:41.576 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6ce90bc5
[DEBUG] 2021-03-01 11:01:41.577 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6ce90bc5
[DEBUG] 2021-03-01 11:01:41.577 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6ce90bc5
[DEBUG] 2021-03-01 11:01:41.578 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@27f1bbe0
[DEBUG] 2021-03-01 11:01:41.579 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@27f1bbe0
[DEBUG] 2021-03-01 11:01:41.579 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@27f1bbe0
[DEBUG] 2021-03-01 11:01:41.580 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7c28c1
[DEBUG] 2021-03-01 11:01:41.580 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7c28c1
[DEBUG] 2021-03-01 11:01:41.581 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7c28c1
[DEBUG] 2021-03-01 11:01:41.582 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5b3f3ba0
[DEBUG] 2021-03-01 11:01:41.582 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5b3f3ba0
[DEBUG] 2021-03-01 11:01:41.583 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5b3f3ba0
[DEBUG] 2021-03-01 11:01:41.584 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5eeedb60
[DEBUG] 2021-03-01 11:01:41.584 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5eeedb60
[DEBUG] 2021-03-01 11:01:41.586 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5eeedb60
[DEBUG] 2021-03-01 11:01:41.587 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2b9b7f1f
[DEBUG] 2021-03-01 11:01:41.587 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2b9b7f1f
[DEBUG] 2021-03-01 11:01:41.588 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2b9b7f1f
[DEBUG] 2021-03-01 11:01:41.588 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@55ea2d70
[DEBUG] 2021-03-01 11:01:41.589 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@55ea2d70
